Filename,Corrected_License_Plate
nitish0.png,CG 07 CR 8075
nitish1.png,CG 07 UC 5422
nitish10.png,CG 07 RX 4485
nitish103.png,CG 07 BG 1637
nitish108.png,CG 07 LT 5915
nitish112.png,CG 07 MB 3212
nitish113.png,CG 47 CM 521
nitish114.png,FG 47 CT 9002
nitish118.png,CG 07 LD 0721
nitish121.png,CG 07 M 4479
nitish125.png,CG 07 BR 5291
nitish126.png,CG 07 AE 8746
nitish127.png,MG 07 A 5104
nitish131.png,CG 07 BB 5153
nitish132.png,CG 04 HM 6188
nitish134.png,CG 07 D 2917
nitish135.png,CG 07 F 7597
nitish140.png,CG 07 LK 5738
nitish141.png,CG 07 BJ 1063
nitish142.png,BC 07 CV 0240
nitish144.png,CG 07 CK 7085
nitish145.png,CG 07 CX 0202
nitish146.png,JH 09 X 0549
nitish148.png,CG 07 MA 1697
nitish149.png,CG 07 CJ 0566
nitish15.png,LD 07 CD 5016
nitish150.png,CG 07 AF 1030
nitish158.png,CG 07 BE 0607
nitish16.png,CG 70 Z 021
nitish161.png,CG 07 LD 2901
nitish163.png,CD 07 DP 0209
nitish166.png,CG 07 L 3500
nitish170.png,CG 08 R 2818
nitish171.png,CG 07 LB 8358
nitish178.png,CG 07 LH 0960
nitish179.png,CG 07 CS 1538
nitish18.png,CG 07 MA 2629
nitish182.png,CO 07 DG 7714
nitish187.png,BG 07 K 3406
nitish189.png,CG 07 LU 7522
nitish193.png,CD 07 D 922
nitish203.png,CG 07 CT 3061
nitish204.png,CD 07 LH 0272
nitish207.png,CG 07 LZ 9618
nitish209.png,CG 07 Z 0134
nitish211.png,CG 07 BD 2954
nitish213.png,CG 07 AP 0401
nitish215.png,CE 07 CH 0170
nitish217.png,CG 07 CY 2317
nitish218.png,CO 07 CC 140
nitish220.png,CG 07 LH 2751
nitish222.png,CG 07 LD 2101
nitish224.png,CG 04 MH 4295
nitish226.png,CG 07 LT 9753
nitish229.png,CG 11 AR 5830
nitish23.png,CG 07 CH 0919
nitish230.png,CG 02 NF 5294
nitish231.png,CG 07 BJ 7615
nitish232.png,CG 07 AP 3001
nitish24.png,CG 07 K 8071
nitish245.png,CG 05 A 1075
nitish249.png,CC 07 BG 2490
nitish251.png,JH 09 X 0549
nitish253.png,OG 07 LK 8510
nitish257.png,QG 07 AS 9503
nitish258.png,CG 04 KD 3307
nitish259.png,CG 11 A 3021
nitish26.png,CG 07 CN 0173
nitish260.png,CG 25 N 2101
nitish261.png,JH 09 BJ 8454
nitish267.png,CB 07 CG 9687
nitish269.png,CG 07 CH 1075
nitish27.png,WB 40 U 6417
nitish272.png,CG 07 BD 2954
nitish273.png,CG 07 LK 3510
nitish275.png,GG 07 AH 1245
nitish276.png,CG 07 AT 9858
nitish278.png,JH 09 X 0549
nitish280.png,CG 07 B 4915
nitish281.png,DG 07 K 3436
