Filename,License_Plate_Source1,License_Plate_Source2,License_Plate_Source3
nitish100.png,7AM1753,07AN6752,07AH-1753
nitish104.png,,,987654321
nitish111.png,,100,0123456789
nitish129.png,CG0SD501,CG 01 R 50 14,CG041R501A
nitish13.png,,N 9 9 9 9,CGG748
nitish143.png,CG07CI1730,C6076,CG07C11736
nitish162.png,CG075066,CG 07 5066,CG 07 5066
nitish169.png,,CD-11PCE-4216,651-148-4218
nitish177.png,CDJ7CT0012,08J7CT-4012,C6J7CT4812
nitish186.png,,05F0ZDY-2019,CG-701-019
nitish2.png,,1030,CLOT 1830
nitish201.png,CD07OZ021,80071212110,СМ4702-0210
nitish252.png,,,456
nitish277.png,,181,81
nitish31.png,CG07BO5807,CG 6880 5802,CG78950Z
nitish310.png,CG07CT17AA,CG+02CT+97AM,LCG07LT-974A
nitish321.png,CG07LO4970,CG07L 42970,CG07L R4970
nitish322.png,CG07LSP326,CG-471-S 3326,CG4719E326
nitish351.png,07AX0679,07211 0679,C0711067
nitish354.png,GI7CJ0013,05-1964-2019,CG-7CJ-0019
nitish356.png,GDTLR0744,103-0772-0744,6707LR077L
nitish381.png,,126,C0726
nitish413.png,0N569,569,790-369
nitish424.png,CG08300900,CG-08341-0900,CG-0040-0900
nitish427.png,CG07881,CGOT BE 12717,CGD7HBE
nitish452.png,7DT9174,079 724,67119874
nitish458.png,MA8793,60767MA8793,CGG7MA8793
nitish461.png,CO7BZ8793,00 7 82 9 793,078Z99
nitish481.png,,,061
nitish495.png,9,109,09
nitish505.png,CG0708,8408,8408
nitish516.png,CO7AV3951,CC-07AY-39151,07AY351
nitish53.png,GD0BF2735,GO OF BF 2735,6007BF2735
nitish535.png,CG00120,CGO 8120,CG01FZ
nitish563.png,GO7CY0491,CG07Y-34991,0G07EYJ491
nitish59.png,GO7BH1807,CIS-07861-9002,CB-076H-9897
nitish70.png,CG07OP1094,CG 070P 1094,CG 070P 1034
nitish78.png,CG071812,CG 07 1812,CG 07 1812
nitish91.png,CG07C76406,C6074,CG07C 95408
nitish93.png,GO7LT7415,FG071741515,FG0717415
